10, MAINTENANCE
11, PROCESSING
12, PRODUCTION
13, COMPLIANCE
14, OFFICE
15, PEST CONTROL
16, WAREHOUSE
17, INFORMATION TECHNOLOGY
18, CORPORATE
19, TRANSPORTATION
